time [s],button1_clicks,button2_clicks,button_state_1,button_state_2,
5e-07,34,1,0,1,
0.0100001,34,1,0,1,
0.0200001,34,1,0,1,
0.0300001,34,1,0,1,
0.0400001,34,1,0,1,
0.0500001,34,1,0,1,
0.0600001,34,1,0,1,
0.0700001,34,1,0,1,
0.0800001,34,1,0,1,
0.0900001,34,1,0,1,
0.1,34,1,0,1,
0.11,34,1,0,1,
0.12,34,1,0,1,
0.13,34,1,0,1,
0.14,34,1,0,1,
0.15,34,1,0,1,
0.16,34,1,0,1,
0.17,34,1,0,1,
0.18,34,1,0,1,
0.19,34,1,0,1,
0.2,34,1,0,1,
0.21,34,1,0,1,
0.22,34,1,0,1,
0.23,34,1,0,1,
0.24,34,1,0,1,
0.25,34,1,0,1,
0.26,34,1,0,1,
0.27,34,1,0,1,
0.28,34,1,0,1,
0.29,34,1,0,1,
0.3,34,1,0,1,
0.31,34,1,0,1,
0.32,34,1,0,1,
0.33,34,1,0,1,
0.34,34,1,0,1,
0.35,34,1,0,1,
0.36,34,1,0,1,
0.37,34,1,0,1,
0.38,34,1,0,1,
0.39,34,1,0,1,
0.4,34,1,0,1,
0.41,34,1,0,1,
0.42,34,1,0,1,
0.43,34,1,0,1,
0.44,34,1,0,1,
0.45,34,1,0,1,
0.46,34,1,0,1,
0.47,34,1,0,1,
0.48,34,1,0,1,
0.49,34,1,0,1,
0.5,34,1,0,1,
0.51,34,1,0,1,
0.52,34,1,0,1,
0.53,34,1,0,1,
0.54,34,1,0,1,
0.55,34,1,0,1,
0.56,34,1,0,1,
0.57,34,1,0,1,
0.58,34,1,0,1,
0.59,34,1,0,1,
0.6,34,1,0,1,
0.61,34,1,0,1,
0.62,34,1,0,1,
0.63,34,1,0,1,
0.64,34,1,0,1,
0.65,34,1,0,1,
0.66,34,1,0,1,
0.67,34,1,0,1,
0.68,34,1,0,1,
0.69,34,1,0,1,
0.7,34,1,0,1,
0.71,34,1,0,1,
0.72,34,1,0,1,
0.73,34,1,0,1,
0.74,34,1,0,1,
0.75,34,1,0,1,
0.76,34,1,0,1,
0.77,34,1,0,1,
0.78,34,1,0,1,
0.79,34,1,0,1,
0.8,34,1,0,1,
0.81,34,1,0,1,
0.82,34,1,0,1,
0.83,34,1,0,1,
0.84,34,1,0,1,
0.85,34,1,0,1,
0.86,34,1,0,1,
0.87,34,1,0,1,
0.88,34,1,0,1,
0.89,34,1,0,1,
0.9,34,1,0,1,
0.91,34,1,0,1,
0.92,34,1,0,1,
0.93,34,1,0,1,
0.94,34,1,0,1,
0.95,34,1,0,1,
0.96,34,1,0,1,
0.97,34,1,0,1,
0.98,34,1,0,1,
0.99,34,1,0,1,
1,34,1,0,1,
1.01,34,1,0,1,
1.02,34,1,0,1,
1.03,34,1,0,1,
1.04,34,1,0,1,
1.05,34,1,0,1,
1.06,34,1,0,1,
1.07,34,1,0,1,
1.08,34,1,0,1,
1.09,34,1,0,1,
1.1,34,1,0,1,
1.11,34,1,0,1,
1.12,34,1,0,1,
1.13,34,1,0,1,
1.14,34,1,0,1,
1.15,34,1,0,1,
1.16,34,1,0,1,
1.17,34,1,0,1,
1.18,34,1,0,1,
1.19,34,1,0,1,
1.2,34,1,0,1,
1.21,34,1,0,1,
1.22,34,1,0,1,
1.23,34,1,0,1,
1.24,34,1,0,1,
1.25,34,1,0,1,
1.26,34,1,0,1,
1.27,34,1,0,1,
1.28,34,1,0,1,
1.29,34,1,0,1,
1.3,34,1,0,1,
1.31,34,1,0,1,
1.32,34,1,0,1,
1.33,34,1,0,1,
1.34,34,1,0,1,
1.35,34,1,0,1,
1.36,34,1,0,1,
1.37,35,1,1,1,
1.38,35,1,1,1,
1.39,35,1,1,1,
1.4,35,1,1,1,
1.41,35,1,1,1,
1.42,35,1,1,1,
1.43,35,1,1,1,
1.44,35,1,1,1,
1.45,35,1,1,1,
1.46,35,1,1,1,
1.47,35,1,1,1,
1.48,35,1,1,1,
1.49,35,1,1,1,
1.5,35,1,1,1,
1.51,35,1,1,1,
1.52,35,1,1,1,
1.53,35,1,1,1,
1.54,35,1,1,1,
1.55,35,1,1,1,
1.56,35,1,1,1,
1.57,35,1,1,1,
1.58,35,1,1,1,
1.59,35,1,1,1,
1.6,35,1,1,1,
1.61,35,1,1,1,
1.62,35,1,1,1,
1.63,35,1,1,1,
1.64,35,1,1,1,
1.65,35,1,1,1,
1.66,35,1,1,1,
1.67,35,1,1,1,
1.68,35,1,1,1,
1.69,35,1,1,1,
1.7,35,1,1,1,
1.71,35,1,1,1,
1.72,35,1,1,1,
1.73,35,1,1,1,
1.74,35,1,1,1,
1.75,35,1,1,1,
1.76,35,1,1,1,
1.77,35,1,1,1,
1.78,35,1,1,1,
1.79,35,1,1,1,
1.8,35,1,1,1,
1.81,35,1,1,1,
1.82,35,1,1,1,
1.83,35,1,1,1,
1.84,35,1,1,1,
1.85,35,1,1,1,
1.86,35,1,1,1,
1.87,35,1,1,1,
1.88,35,1,1,1,
1.89,35,1,1,1,
1.9,35,1,1,1,
1.91,35,1,1,1,
1.92,36,1,0,1,
1.93,36,1,0,1,
1.94,36,1,0,1,
1.95,36,1,0,1,
1.96,36,1,0,1,
1.97,36,1,0,1,
1.98,36,1,0,1,
1.99,36,1,0,1,
2,36,1,0,1,
2.01,36,1,0,1,
2.02,36,1,0,1,
2.03,36,1,0,1,
2.04,36,1,0,1,
2.05,36,1,0,1,
2.06,36,1,0,1,
2.07,36,1,0,1,
2.08,36,1,0,1,
2.09,36,1,0,1,
2.1,36,1,0,1,
2.11,36,1,0,1,
2.12,36,1,0,1,
2.13,36,1,0,1,
2.14,36,1,0,1,
2.15,36,1,0,1,
